"iso_alpha_3","administrative_area_level","data_type","url","title","year","bibtype","author","institution","textVersion"
"TWN",1,"population","https://www.cia.gov/library/publications/the-world-factbook/geos/tw.html","CIA - Central Intelligence Agency","2020",,,,
"TZA",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/tz.html","CIA - Central Intelligence Agency","2020",,,,
"TZA",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/tz.html","CIA - Central Intelligence Agency","2020",,,,
"USA",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/us.html","CIA - Central Intelligence Agency","2020",,,,
"USA",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/us.html","CIA - Central Intelligence Agency","2020",,,,
"USA",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",1,"population","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",2,"latitude","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",2,"longitude","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",2,"population","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",2,"confirmed","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",2,"deaths","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",2,"tests","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",2,"recovered","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",2,"hosp","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",2,"icu","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",2,"vent","https://covidtracking.com","The COVID Tracking Project","2020",,,,
"USA",3,"confirmed","https://github.com/nytimes/covid-19-data","The New York Times","2020",,,,
"USA",3,"deaths","https://github.com/nytimes/covid-19-data","The New York Times","2020",,,,
"USA",3,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",3,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"VAT",1,"population","https://www.cia.gov/library/publications/the-world-factbook/geos/vt.html","CIA - Central Intelligence Agency","2019",,,,
"VAT",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/vt.html","CIA - Central Intelligence Agency","2019",,,,
"VAT",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/vt.html","CIA - Central Intelligence Agency","2019",,,,
"VEN",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/ve.html","CIA - Central Intelligence Agency","2020",,,,
"VEN",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/ve.html","CIA - Central Intelligence Agency","2020",,,,
"VIR",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/vq.html","CIA - Central Intelligence Agency","2020",,,,
"VIR",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/vq.html","CIA - Central Intelligence Agency","2020",,,,
"VIR",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"VIR",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"VNM",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/vm.html","CIA - Central Intelligence Agency","2020",,,,
"VNM",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/vm.html","CIA - Central Intelligence Agency","2020",,,,
"VUT",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/nh.html","CIA - Central Intelligence Agency","2020",,,,
"VUT",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/nh.html","CIA - Central Intelligence Agency","2020",,,,
"WLF",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/wf.html","CIA - Central Intelligence Agency","2020",,,,
"WLF",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/wf.html","CIA - Central Intelligence Agency","2020",,,,
"WLF",1,"population","https://www.cia.gov/library/publications/the-world-factbook/geos/wf.html","CIA - Central Intelligence Agency","2020",,,,
"WSM",1,"longitude","https://www.cia.gov/library/publications/the-world-factbook/geos/ws.html","CIA - Central Intelligence Agency","2020",,,,
"WSM",1,"latitude","https://www.cia.gov/library/publications/the-world-factbook/geos/ws.html","CIA - Central Intelligence Agency","2020",,,,
"ZAF",1,"deaths","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",1,"confirmed","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",1,"tests","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",1,"recovered","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",1,"hosp","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",1,"icu","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",1,"vent","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",2,"confirmed","https://github.com/dsfsi/covid19za","Data Science for Social Impact research group, University of Pretoria","2020",,,,
"ZAF",2,"population","https://www.wikipedia.org","Wikipedia","2018",,,,
"ZAF",2,"latitude","https://www.wikipedia.org","Wikipedia","2019",,,,
"ZAF",2,"longitude","https://www.wikipedia.org","Wikipedia","2019",,,,
,,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
,,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
,,"tests","https://github.com/owid/covid-19-data","Our World in Data","2020",,,,
,,"recovered","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
,,"latitude","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
,,"longitude","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
,,"school_closing","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"workplace_closing","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"cancel_events","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"transport_closing","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"information_campaigns","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"internal_movement_restrictions","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"international_movement_restrictions","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"testing_policy","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"contact_tracing","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"stringency_index","www.bsg.ox.ac.uk/covidtracker","Oxford COVID-19 Government Response Tracker","2020",,"Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, Beatriz Kira","Blavatnik School of Government","Hale Thomas, Sam Webster, Anna Petherick, Toby Phillips, and Beatriz Kira (2020). Oxford COVID-19 Government Response Tracker, Blavatnik School of Government."
,,"population","https://data.worldbank.org/indicator/SP.POP.TOTL","World Bank Open Data","2018",,,,
